Matches,MatchesSplit,counts
OIL,Ocean and Oil,4
OIL,Eternal Oil & Gas Plc,6
OIL,En Oil and Gas Limited,6
OIL,Ontario Oil & Gas Plc,6
OIL,Pamaron Oil and Gas Ltd,6
OIL,Falcon Oil and Gas Ltd,6
OIL,Malabu Oil & Gas Ltd,6
OIL,AMALEK OIL AND GAS LTD,6
OIL,Arnage Oil and Gas Ltd,6
OIL,CLOSED JOINT-STOCK COMPANY NEW OIL COMPANY,8
GENERAL,GENERAL PETROLEUM CORPORATION,6
OIL,KRAKERN LIMITED,7
BANK,TOURISM BANK,42
OIL,Nasaman Oil Services,4
OIL,Chrome Oil Services,4
MARINA,LADY MARIIA,36
KING,Ignacio CORONEL VILLAREAL,4
DEV,Vansun Development Company,9
ASS,GOODWILL CHARITABLE ORGANIZATION INC,7
DEV,PETROIRAN DEVELOPMENT COMPANY (PEDCO) LIMITED,26
DEV,SIMATIC DEVELOPMENT CO,9
NETWORKS,"HUAWEI MARINE NETWORKS CO., LTD.",4
DEV,ROZARO DEVELOPMENT LIMITED,9
DEV,Tropical Development USA LLC,10
DEV,TOVASE DEVELOPMENT CORP,9
DEV,"ROMDOUL DEVELOPMENT CO., LTD.",9
TRANSPORT,GULF TRANSPORT AND TRADING LIMITED,5
PORT,SINA PORT AND MARINE SERVICES DEVELOPMENT COMPANY,4
BUILDING,ACCENTURE BUILDING MATERIALS,2
GLOBAL,Global Allied Ltd,8
GLOBAL,Seawave Global Ltd.,5
GLOBAL,Fidecath Global Limited,5
GLOBAL,GLOBAL CLEANERS SARL,10
GLOBAL,PREMIER KIOSK GLOBAL SUPPLY CO.,10
GLOBAL,GLOBAL AGE LIMITED,5
GLOBAL,"GLOBAL STRUCTURE, S.A.",4
GLOBAL,GLOBAL ENERGY COMPANY S.A.S.,6
GLOBAL,GLOBAL INTERFACE COMPANY INC.,4
BANK,KARAFARIN BANK,166
TRADE,"SHANGHAI MOSSEL TRADE CO., LTD.",25
TRADE,"DANDONG ZHICHENG METALLIC MATERIAL CO., LTD.",24
TRADE,COSAILING BUSINESS TRADING COMPANY LIMITED,46
TRADE,"DANDONG TIANFU TRADE CO., LTD.",24
TRADE,"ZIBO ELIM TRADE COMPANY, LTD.",23
TRADE,DANDONG HONGDA TRADE CO. LTD.,23
TRADE,WEIHAI HUIJIANG TRADE LIMITED,23
TITAN,JOINT STOCK COMPANY FEDERAL SCIENTIFIC AND PRODUCTION CENTER TITAN BARRIKADY,18
TECH,NOVA TECHNOLOGIES,6
FAN,FEDERAL NEWS AGENCY LLC,9
TECH,KIDMA TECH OJSC,3
TRADING,OLUWA MBE TRADING COMPANY,10
LIMITED,MULTIMAT IC VE DIS TICARET PAZARLAMA LIMITED SIRKETI,13
TRADING,HESONG TRADING CORPORATION,27
ALUMINIUM,TIANJIN PHYTIUM INFORMATION TECHNOLOGY,5
COMPANY,SOUTH ALUMINUM COMPANY,6
EAST,ISIS-PHILIPPINES,8
"WING HANG BANK,LTD.",WING HANG BANK,9
ABA,AL-BUSTAN CHARITY,50
TRADING,Qingdao Services and Trading Co Limited,12
TRADING,ELECTRONICS KATRANGI TRADING,15
ELECTRICCO,"KINGLEAD ELECTRONICS CO., LTD.",31
TRADING,KOREA TANGUN TRADING CORPORATION,2
BANK,THE EXCELSIOR BANK,162
INTERNATIONAL,NIMR INTERNATIONAL S.R.L.,19
BANK,BANK OF EAST LAND,134
INTERNATIONAL,KENWOO INTERNATIONAL TRADE COMPANY,28
INTERNATIONAL,DOOSTAN INTERNATIONAL COMPANY,7
PROMOTIONOF,AL-QUDS INTERNATIONAL FOUNDATION,78
TECHNOLOGY,DAHUA TECHNOLOGY,9
TECHNOLOGY,KAIKAI TECHNOLOGY CO LTD,21
