End Date,Buy Ccy,Sell Ccy,Counterparty Mnemonic,Currency,Buy Amount,Sell Amount,Principal Amount (Signed),Contract Rate,TOTAL_INTEREST_VALUE,PL Now Accrued PL (int),Entity,Deal Date,Start Date,Subtype,Deal No,PENDING_DAYS_TO_MATURITY,TOTAL_MATURITY_AMOUNT,Type ,Deal Status,Trading Book,Deal Type,Department,Spread Rate,Internal Rate,Dealer,LCY_AMOUNT_1,ORIGINAL_TENOR,Outstanding Notional,Omgeo Ref,Settlement Method,PayRec,Cpty Pay Agent Inst,Pay Nostro,Rec Nostro,Security Code,Buy/Sell,Quantity Traded,ISIN 1,Block Ref,Sec. Inv. Price,Sec. Accrued,Repo Amount,Block Amt,CCY1,CCY2
11/23/2022,,,UBA-LAG,USD,,,"16,700,000.00",3.75,"313,125.00","93,937.50",UBAGCI,5/19/2022,5/27/2022,IHOFC,104553,126,"17,013,125.00",FIX/LOAN,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,3.75,MOHNIR349,"16,700,000.00",,16700000,,,,,,,,,,,,,,,,,
11/28/2022,,,UBA-LAG,USD,,,"7,000,000.00",3.75,"131,979.17","36,458.33",UBAGCI,5/27/2022,5/31/2022,IHOFC,104571,131,"7,131,979.17",FIX/LOAN,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,3.75,MOHNIR349,"7,000,000.00",,7000000,,,,,,,,,,,,,,,,,
11/30/2022,,,UBA-LAG,USD,,,"70,000,000.00",3.75,"1,334,375.00","364,583.33",UBAGCI,5/31/2022,5/31/2022,IHOFC,104574,133,"71,334,375.00",FIX/LOAN,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,3.75,MOHNIR349,"70,000,000.00",,70000000,,,,,,,,,,,,,,,,,
11/30/2022,,,UBA-LAG,USD,,,"30,000,000.00",3.75,"571,875.00","156,250.00",UBAGCI,5/31/2022,5/31/2022,IHOFC,104575,133,"30,571,875.00",FIX/LOAN,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,3.75,MOHNIR349,"30,000,000.00",,30000000,,,,,,,,,,,,,,,,,
12/5/2022,,,UBA-LAG,USD,,,"8,000,000.00",3.75,"151,666.67","36,666.67",UBAGCI,6/2/2022,6/6/2022,IHOFC,104582,138,"8,151,666.67",FIX/LOAN,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,3.75,MOHNIR349,"8,000,000.00",,8000000,,,,,,,,,,,,,,,,,
12/5/2022,,,UBA-LAG,USD,,,"12,000,000.00",3.75,"227,500.00","55,000.00",UBAGCI,6/2/2022,6/6/2022,IHOFC,104581,138,"12,227,500.00",FIX/LOAN,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,3.75,MOHNIR349,"12,000,000.00",,12000000,,,,,,,,,,,,,,,,,
12/30/2022,,,UNITY,USD,,,"-488,530.00",0.35,"-1,282.39",-508.21,UBAGCI,4/4/2022,4/4/2022,IBIOC,104548,163,"-489,812.39",FIX/DEPO,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_PLEDGE,0,0.35,MOHNIR349,"-488,530.00",,-488530,,,,,,,,,,,,,,,,,
1/10/2023,,,UBA-LAG,USD,,,"5,000,000.00",4.75,"118,750.00","3,958.33",UBAGCI,7/14/2022,7/14/2022,IHOFC,104675,174,"5,118,750.00",FIX/LOAN,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,4.75,MOHNIR349,"5,000,000.00",,5000000,,,,,,,,,,,,,,,,,
1/16/2023,,,UBA-LAG,USD,,,"7,500,000.00",4.75,"178,125.00",0,UBAGCI,7/19/2022,7/20/2022,IHOFC,104685,180,"7,678,125.00",FIX/LOAN,CONTINGENT,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,4.75,MOHNIR349,"7,500,000.00",,7500000,,,,,,,,,,,,,,,,,
10/27/2025,,,UBA U.K.,USD,,,"235,000.00",107.25,,,UBAGCI,6/25/2021,6/29/2021,EBOND,103853,1195,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,YOUSHA349,"235,000.00",,,,,,,,,FBNNL 10/27/25,BUY,"235,000.00",XS2243733685,,"255,528.23","3,490.73",,,,
